Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF ;Failure             ;Notes;Sample Prep Notes;Number
E11     ;E9;None     ;14.11;1.22E+05;Positive;Unchecked;Unknown         ;-       ;14.11;0;1.22E+05;0.00E+00;               ;SYBR Green I;           ;1.47;4.91;None                ;     ;                 ;59
E12     ;TOM;None     ;17.72;1.16E+04;Positive;Unchecked;Unknown         ;-       ;17.72;0;1.16E+04;0.00E+00;               ;SYBR Green I;           ;0.75;4.26;None                ;     ;                 ;60
F1      ;standard   ;None     ;16.87;2.02E+04;Positive;Unchecked;Standard        ;2.20E+04;16.91;0.06;1.97E+04;7.26E+02;F1             ;SYBR Green I;           ;1.02;4.69;None                ;     ;                 ;61
F2      ;standard   ;None     ;16.95;1.92E+04;Positive;Unchecked;Standard        ;2.20E+04;16.91;0.06;1.97E+04;7.26E+02;F1             ;SYBR Green I;           ;0.96;4.66;None                ;     ;                 ;62
F3      ;F7;None     ;9.15;3.10E+06;Positive;Unchecked;Unknown         ;-       ;9.15;0;3.10E+06;0.00E+00;               ;SYBR Green I;           ;1.03;4.19;None                ;     ;                 ;63
F4      ;F7;None     ;8.94;3.56E+06;Positive;Unchecked;Unknown         ;-       ;8.94;0;3.56E+06;0.00E+00;               ;SYBR Green I;           ;0.96;4.03;None                ;     ;                 ;64
F5      ;F7;None     ;8.94;3.56E+06;Positive;Unchecked;Unknown         ;-       ;8.94;0;3.56E+06;0.00E+00;               ;SYBR Green I;           ;0.9;3.88;None                ;     ;                 ;65
F6      ;F8;None     ;13.76;1.54E+05;Positive;Unchecked;Unknown         ;-       ;13.76;0;1.54E+05;0.00E+00;               ;SYBR Green I;           ;1.12;4.59;None                ;     ;                 ;66
F7      ;F8;None     ;13.89;1.41E+05;Positive;Unchecked;Unknown         ;-       ;13.89;0;1.41E+05;0.00E+00;               ;SYBR Green I;           ;1.3;4.75;None                ;     ;                 ;67
F8      ;F8;None     ;14.09;1.24E+05;Positive;Unchecked;Unknown         ;-       ;14.09;0;1.24E+05;0.00E+00;               ;SYBR Green I;           ;1.28;4.68;None                ;     ;                 ;68
F9      ;F9;None     ;17.68;1.19E+04;Positive;Unchecked;Unknown         ;-       ;17.68;0;1.19E+04;0.00E+00;               ;SYBR Green I;           ;0.71;4.19;None                ;     ;                 ;69
F10     ;F9;None     ;16.95;1.92E+04;Positive;Unchecked;Unknown         ;-       ;16.95;0;1.92E+04;0.00E+00;               ;SYBR Green I;           ;0.92;4.28;None                ;     ;                 ;70
F11     ;F9;None     ;16.87;2.02E+04;Positive;Unchecked;Unknown         ;-       ;16.87;0;2.02E+04;0.00E+00;               ;SYBR Green I;           ;0.97;4.4;None                ;     ;                 ;71
F12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.01;None                ;     ;                 ;72
G1      ;tom;None     ;17.98;9.79E+03;Positive;Unchecked;Unknown         ;-       ;17.98;0;9.79E+03;0.00E+00;               ;SYBR Green I;           ;0.66;4.05;None                ;     ;                 ;73
G2      ;tom;None     ;17.74;1.15E+04;Positive;Unchecked;Unknown         ;-       ;17.74;0;1.15E+04;0.00E+00;               ;SYBR Green I;           ;0.68;4.12;None                ;     ;                 ;74
G3      ;G7;None     ;12.34;3.88E+05;Positive;Unchecked;Unknown         ;-       ;12.34;0;3.88E+05;0.00E+00;               ;SYBR Green I;           ;1.24;4.68;None                ;     ;                 ;75
G4      ;G7;None     ;11.83;5.40E+05;Positive;Unchecked;Unknown         ;-       ;11.83;0;5.40E+05;0.00E+00;               ;SYBR Green I;           ;1.25;4.69;None                ;     ;                 ;76
G5      ;G7;None     ;11.8;5.51E+05;Positive;Unchecked;Unknown         ;-       ;11.8;0;5.51E+05;0.00E+00;               ;SYBR Green I;           ;1.21;4.62;None                ;     ;                 ;77
G6      ;G8;None     ;16.56;2.47E+04;Positive;Unchecked;Unknown         ;-       ;16.56;0;2.47E+04;0.00E+00;               ;SYBR Green I;           ;0.9;4.16;None                ;     ;                 ;78
G7      ;G8;None     ;16.55;2.49E+04;Positive;Unchecked;Unknown         ;-       ;16.55;0;2.49E+04;0.00E+00;               ;SYBR Green I;           ;0.93;4.16;None                ;     ;                 ;79
G8      ;G8;None     ;16.72;2.23E+04;Positive;Unchecked;Unknown         ;-       ;16.72;0;2.23E+04;0.00E+00;               ;SYBR Green I;           ;0.88;4.05;None                ;     ;                 ;80
G9      ;G9;None     ;16.05;3.45E+04;Positive;Unchecked;Unknown         ;-       ;16.05;0;3.45E+04;0.00E+00;               ;SYBR Green I;           ;1.08;4.67;None                ;     ;                 ;81
G10     ;G9;None     ;16.16;3.21E+04;Positive;Unchecked;Unknown         ;-       ;16.16;0;3.21E+04;0.00E+00;               ;SYBR Green I;           ;1.09;4.65;None                ;     ;                 ;82
G11     ;G9;None     ;16.21;3.11E+04;Positive;Unchecked;Unknown         ;-       ;16.21;0;3.11E+04;0.00E+00;               ;SYBR Green I;           ;0.91;4.25;None                ;     ;                 ;83
G12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.06;None                ;     ;                 ;84
H1      ;vand;None     ;18.02;9.54E+03;Positive;Unchecked;Negative control;-       ;17.8;0.31;1.11E+04;2.24E+03;H1             ;SYBR Green I;           ;0.64;3.99;Neg Ctrl is positive;     ;                 ;85
H2      ;vand;None     ;17.58;1.27E+04;Positive;Unchecked;Negative control;-       ;17.8;0.31;1.11E+04;2.24E+03;H1             ;SYBR Green I;           ;0.66;4.06;Neg Ctrl is positive;     ;                 ;86
H3      ;H7;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.01;None                ;     ;                 ;87
H4      ;H7;None     ;14.77;7.94E+04;Positive;Unchecked;Unknown         ;-       ;14.77;0;7.94E+04;0.00E+00;               ;SYBR Green I;           ;1.12;4.28;None                ;     ;                 ;88
H5      ;H7;None     ;14.72;8.21E+04;Positive;Unchecked;Unknown         ;-       ;14.72;0;8.21E+04;0.00E+00;               ;SYBR Green I;           ;1.15;4.37;None                ;     ;                 ;89
H6      ;H8;None     ;15.72;4.28E+04;Positive;Unchecked;Unknown         ;-       ;15.72;0;4.28E+04;0.00E+00;               ;SYBR Green I;           ;1.13;4.36;None                ;     ;                 ;90
H7      ;H8;None     ;15.73;4.25E+04;Positive;Unchecked;Unknown         ;-       ;15.73;0;4.25E+04;0.00E+00;               ;SYBR Green I;           ;1.08;4.23;None                ;     ;                 ;91
H8      ;H8;None     ;15.93;3.73E+04;Positive;Unchecked;Unknown         ;-       ;15.93;0;3.73E+04;0.00E+00;               ;SYBR Green I;           ;1.08;4.21;None                ;     ;                 ;92
H9      ;H9;None     ;14.74;8.10E+04;Positive;Unchecked;Unknown         ;-       ;14.74;0;8.10E+04;0.00E+00;               ;SYBR Green I;           ;1.16;4.61;None                ;     ;                 ;93
H10     ;H9;None     ;14.82;7.69E+04;Positive;Unchecked;Unknown         ;-       ;14.82;0;7.69E+04;0.00E+00;               ;SYBR Green I;           ;1.25;4.72;None                ;     ;                 ;94
H11     ;H9;None     ;14.78;7.89E+04;Positive;Unchecked;Unknown         ;-       ;14.78;0;7.89E+04;0.00E+00;               ;SYBR Green I;           ;1.17;4.59;None                ;     ;                 ;95
H12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0;None                ;     ;                 ;96
